,YEAR,STATE,RATE,DEATHS
333,2005,ND,26.2,204
283,2014,ND,19.9,176
233,2015,ND,22.6,195
183,2016,ND,19.4,171
133,2017,ND,21.8,194
83,2018,ND,24.1,214
33,2019,ND,20.0,183
326,2005,NE,23.3,449
276,2014,NE,21.5,473
226,2015,NE,24.8,553
176,2016,NE,21.9,501
126,2017,NE,25.0,575
76,2018,NE,26.0,596
26,2019,NE,23.0,540
328,2005,NH,23.4,310
278,2014,NH,18.0,300
228,2015,NH,17.9,308
178,2016,NH,17.9,316
128,2017,NH,19.2,340
78,2018,NH,17.3,319
28,2019,NH,19.3,363
329,2005,NJ,27.3,2540
279,2014,NJ,19.3,2062
229,2015,NJ,17.9,1933
179,2016,NJ,17.8,1949
129,2017,NJ,16.9,1908
79,2018,NJ,16.6,1880
29,2019,NJ,16.7,1934
330,2005,NM,31.4,595
280,2014,NM,27.5,671
230,2015,NM,24.9,608
180,2016,NM,27.2,678
130,2017,NM,26.5,673
80,2018,NM,26.1,685
30,2019,NM,25.4,673
327,2005,NV,15.3,336
277,2014,NV,11.4,350
227,2015,NV,13.4,420
177,2016,NV,17.9,580
127,2017,NV,18.3,609
77,2018,NV,19.2,674
27,2019,NV,23.1,836
331,2005,NY,19.7,4051
281,2014,NY,17.4,4064
231,2015,NY,17.1,4045
181,2016,NY,16.9,4038
131,2017,NY,16.8,4176
81,2018,NY,18.2,4519
31,2019,NY,18.0,4564
334,2005,OH,30.5,3794
284,2014,OH,25.7,3641
234,2015,OH,25.3,3645
184,2016,OH,24.6,3568
134,2017,OH,25.2,3740
84,2018,OH,25.4,3845
34,2019,OH,25.4,3873
335,2005,OK,32.6,1217
285,2014,OK,29.1,1261
235,2015,OK,32.4,1442
185,2016,OK,30.8,1393
135,2017,OK,30.6,1398
85,2018,OK,29.0,1340
35,2019,OK,28.0,1306
336,2005,OR,29.2,1149
286,2014,OR,22.4,1083
236,2015,OR,22.9,1148
186,2016,OR,24.0,1240
136,2017,OR,23.9,1243
86,2018,OR,22.9,1224
36,2019,OR,22.9,1266
337,2005,PA,23.1,3553
287,2014,PA,22.0,3765
237,2015,PA,22.1,3777
187,2016,PA,20.3,3560
137,2017,PA,21.0,3704
87,2018,PA,20.2,3603
37,2019,PA,20.4,3654
338,2005,RI,22.3,282
288,2014,RI,18.3,252
238,2015,RI,20.2,276
188,2016,RI,16.9,239
138,2017,RI,18.8,275
88,2018,RI,17.2,249
38,2019,RI,18.3,265
339,2005,SC,27.5,1187
289,2014,SC,21.8,1239
